,T1_ILT_Negative,T1_ILT_Positive,T1_ILT_Masculine,T1_ILT_Tyranny,T1_ILT_Dynamic,T1_ILT_Dedication,T1_ILT_Intelligence,T1_ILT_Sensitivity,T1Open,T1Neurotic,T1Conscientious,T1Agreeable,T1Extraversion,T1_Mindfulness,T1_CITOptimism,T1_CITEfficacy,T1_CITLonely,T1_CITSupport,T1PSS,T1SE,T1NA_low_AAS,T1NA_high_AAS,T1NA_AAS,T1PA_low_AAS,T1PA_high_AAS,T1PA_AAS,T1SWLS,T1Duration,T1Finished,Age,Gender,Ethnicity,Ethnicity_6_TEXT,Education,Major,Job,Hours,WorkExp,LeadExp,T1_Distracted,Condition.x,ID,T2_Mindfulness,T2PSS,T2NA_low_AAS,T2NA_high_AAS,T2NA_AAS,T2PA_low_AAS,T2PA_high_AAS,T2PA_AAS,T2Duration,T2_Distracted,T3_Mindfulness,T3PSS,T3NA_low_AAS,T3NA_high_AAS,T3NA_AAS,T3PA_low_AAS,T3PA_high_AAS,T3PA_AAS,T3Duration,T3_Distracted,T4_Mindfulness,T4PSS,T4NA_low_AAS,T4NA_high_AAS,T4NA_AAS,T4PA_low_AAS,T4PA_high_AAS,T4PA_AAS,T4Duration,T4_Distracted,T5_Mindfulness,T5PSS,T5NA_low_AAS,T5NA_high_AAS,T5NA_AAS,T5PA_low_AAS,T5PA_high_AAS,T5PA_AAS,T5Duration,T5_Distracted,T6_Mindfulness,T6PSS,T6NA_low_AAS,T6NA_high_AAS,T6NA_AAS,T6PA_low_AAS,T6PA_high_AAS,T6PA_AAS,T6Duration,T6_Distracted,T7_ILT_Negative,T7_ILT_Positive,T7_ILT_Masculine,T7_ILT_Tyranny,T7_ILT_Dynamic,T7_ILT_Dedication,T7_ILT_Intelligence,T7_ILT_Sensitivity,T7Open,T7Neurotic,T7Conscientious,T7Agreeable,T7Extraversion,T7_Mindfulness,T7_CITOptimism,T7_CITEfficacy,T7_CITLonely,T7_CITSupport,T7PSS,T7SE,T7NA_low_AAS,T7NA_high_AAS,T7NA_AAS,T7PA_low_AAS,T7PA_high_AAS,T7PA_AAS,T7SWLS,T7_SWLS_Before,T7_SWLS_After,T7_SE_Before,T7_SE_After,T7_CITSupport_Before,T7_CITSupport_After,T7_CITOptimism_Before,CIT_Optimism_2,T7_Happy_Before,T7_Happy_After,T7_Gratitude_Before,T7_Gratitude_After,MAAS_1_1,MAAS_2_1,T7_CITLonely_Before,T7_CITLonely_After,PhoneBrand,WhoPlayed,WhoPlayed_Ratio_1,WhoPlayed_Ratio_2,PlayTime_Day,PlayTime_Total,Play_AfterSurvey1,Useful,TrainCond,MeetNeeds_TrainCond,SimilarProd,EasyIntuitive,LooksFeels,WantMoreThanSimilar,Recommend,Review1to10_1,Review1to10_Why,LikeMostLeast,MostImportantFeature,FeatureToAdd,LeastAmountPay,MostAmountPay,WantProduct,FunToUse_1,LeastImportantFeatur,KeepPlaying,PreventFromPlay,FeelGoodAboutProduct_1,T7_Distracted,T7_DescribeDistract,StudyPurpose,Effort,Attention,UseData,Selfie,Words
1,2.25,7,1.5,2.5,6.666666667,7,6.25,8.333333333,5.833333333,4.833333333,5.166666667,5,3,3.4,4.333333333,4.666666667,2.666666667,6,3.5,58,1.4,2,1.727272727,3,2.75,2.857142857,4,8806,1,21,2,2,NA,4,Psychology,2,0,3,1,2,0,1,2.6,NA,1,2,1.545454545,3.333333333,3.25,3.285714286,424,2,4,3,4,3.166666667,3.545454545,2.333333333,1.75,2,221,1,2.4,3.25,1.4,1.833333333,1.636363636,2.333333333,2.25,2.285714286,355,2,2.4,3,1.6,1.833333333,1.727272727,3,3.25,3.142857143,258,2,2.4,3.25,1.6,1.666666667,1.636363636,3.666666667,2.5,3,134,2,3.5,8.076923077,1,4.333333333,7,8.333333333,8.25,8.666666667,5.833333333,5.333333333,4.833333333,5.166666667,3.5,1.2,5,5.333333333,2.666666667,6.333333333,3.5,203,2.4,1.833333333,2.090909091,2.666666667,2.25,2.428571429,5.2,57,57,70,71,100,100,52,54,65,74,55,59,48,51,10,9,iphone 11,2,NA,NA,6,40,1,2,2,2,brain games,2,2,2,2,5,Very one note. AI is not that great.,the interface of the app.,the pictures,another game,0,1,1,3,the interface,1,It wasn’t that fun,2,2,NA,To gauge app effectiveness,4,3,1,1,2
2,4.125,7.307692308,1.5,5,7.333333333,6.333333333,7.25,8.333333333,4.333333333,3.166666667,4.833333333,5.5,4.833333333,2.8,6.333333333,5.666666667,1,6.666666667,2.5,72,1.4,1.833333333,1.636363636,6.333333333,4.25,5.142857143,5.2,4201,1,22,2,2,NA,4,Psychology,2,0,0,0,2,1,2,2.8,NA,1.6,2.166666667,1.909090909,4.666666667,3.5,4,263,2,2.6,2.75,1.2,1.666666667,1.454545455,5,3.25,4,32849,2,2,3.25,1.4,1.833333333,1.636363636,5,4,4.428571429,362,2,1.8,3.25,1,1.666666667,1.363636364,4.333333333,3.5,3.857142857,481,2,2.4,3,1,1.666666667,1.363636364,3.666666667,3.5,3.571428571,280,2,2,4.769230769,1.5,2.166666667,5.666666667,4.666666667,5.5,3,3.5,3.666666667,4.5,5,4.833333333,1.4,5.333333333,5,2.333333333,5.333333333,2.75,225,1,1.5,1.272727273,4,3.5,3.714285714,5.2,83,86,75,82,76,74,89,87,86,83,83,82,60,80,0,0,iPhone XS Max,2,NA,NA,8,54,2,2,1,2,None,1,1,2,2,6,I think the game could be a bit more interactive.,I liked that you could add your own photos,The way you are able to personalize it in a way,None,0,0,2,3,"The words in the game,",2,Adding new photos,4,2,NA,If you are thinking of something that makes you happy then you are more motivated to go one with your day.,4,4,1,1,1
3,3.125,6.769230769,2,3.5,6.333333333,7.666666667,5.25,8.333333333,5.5,4.166666667,5.333333333,5,4.166666667,2.4,5.666666667,5.333333333,4.333333333,5.666666667,2.75,61,1,1.833333333,1.454545455,5.333333333,2.75,3.857142857,4,2311,1,20,2,2,NA,3,psychology,1,12,2,0,1,1,5,1.4,2.5,1.2,1.333333333,1.272727273,3.333333333,2.5,2.857142857,656,NA,1.4,2.75,1,1,1,1.666666667,1.25,1.428571429,3344,2,1.4,2.5,1.4,1.333333333,1.363636364,1,1,1,1218,2,2,2.5,1,1.166666667,1.090909091,1.333333333,1.75,1.571428571,460,2,2.4,2.75,1.2,1,1.090909091,5,2.25,3.428571429,373,2,2.875,8.615384615,1.5,3.333333333,8.666666667,8.666666667,8.75,8.333333333,5.666666667,4,5.666666667,4.333333333,4.333333333,1.4,5,5.333333333,3.333333333,5.666666667,2.5,211,1.2,1.5,1.363636364,5,3,3.857142857,4.4,81,79,75,73,84,80,78,82,84,82,85,87,77,76,16,29,"apple, iOS , iPhone XR",2,NA,NA,10,50,2,2,1,2,memory apps on iPhone,1,1,2,3,8,it was a fairly easy application to use and it was cool that the game is personalized in a way since we get to upload the pictures to play with.,glitchy or slow,personalized,music,0,0,1,4,timer,2,I don't understand its purpose and can only make it to a certain round,5,2,NA,im not sure,4,4,1,1,1
4,4.625,9.307692308,1,5.833333333,9,9,9.25,10,5.833333333,3.666666667,5.5,4.666666667,4.333333333,2.8,5.333333333,6.666666667,3,7,3,82,1.4,2.166666667,1.818181818,6.333333333,5.5,5.857142857,6.2,714,1,21,2,1,NA,4,Business,2,0,3,25,2,0,7,NA,3.25,1,1.666666667,1.363636364,5.666666667,4.5,5,1636,2,2.4,4.25,1,1.666666667,1.363636364,5.666666667,3.5,4.428571429,617,2,2.6,4.25,1.6,1.833333333,1.727272727,5.666666667,4.25,4.857142857,153,2,1.4,3,1,1.833333333,1.454545455,6,4.5,5.142857143,217,2,1,3,1.6,1.666666667,1.636363636,5.333333333,3.5,4.285714286,131,2,3.875,9.307692308,1,4.833333333,9.666666667,9,10,8.333333333,5.5,4,4.666666667,4.666666667,4.666666667,1,6.666666667,7,2.333333333,7,3,288,1,1.666666667,1.363636364,6,4.25,5,6.2,100,100,100,100,100,100,100,100,100,100,100,100,85,85,16,16,iPhone 6s,2,NA,NA,10,60,2,2,2,2,N/a,1,1,2,3,7,While it is easy to use. The photo inputs become tedious and complicated over time since it take longer for the app to load,It takes a long time to load. It gets frozen every so often,Easily understandable. Intuitive,Better layout of controls. There is too many steps to get from point a to b when adding words. I would rather have a “fill in the blank” word list instead of constantly adding one word after the other. See it as several empty boxes and you can fill in how ever many words you need,1,1,1,4,N/a,1,its Fun to create narratives when memorizing the pictures,4,2,NA,How can we effect self evaluation,4,4,1,1,2
5,4.125,8.461538462,2,4.833333333,8.666666667,7.333333333,9.25,8.333333333,6.166666667,4.833333333,3.833333333,6.166666667,5.166666667,2.8,4.333333333,6,3.666666667,5.666666667,3.5,40,3.2,4.666666667,4,3.333333333,4,3.714285714,2.4,791,1,20,2,6,Hispanic/Caucasian/Filipino,3,Psychology,2,0,4,3,2,0,11,3.4,3.25,2,4,3.090909091,4.666666667,5.25,5,463,NA,4.2,3,3,4.166666667,3.636363636,4,3.5,3.714285714,269,2,4.8,3,5,4.5,4.727272727,3.333333333,3.5,3.428571429,196,2,3.8,2.5,5.2,4.166666667,4.636363636,3,3.75,3.428571429,384,1,4.2,3.5,4.6,5.333333333,5,2,3.25,2.714285714,1183,2,4.375,7.615384615,2,5.166666667,8,6,7.5,9,6,5,3,5.833333333,4.666666667,2,3,5.333333333,5,5.666666667,3,216,4,5.833333333,5,2.333333333,3,2.714285714,2.4,71,56,81,82,75,66,30,29,81,71,75,85,69,80,61,72,iPhone 8+,2,NA,NA,10,40,1,2,1,2,word games,1,2,2,1,7,"It was a well made app, the product was easy to use but I didn't understand the purpose of the app. If there was a introduction to the app/what is is used for it would be helpful.",I did not like how managing the lists was confusing and how if you took a picture through the app it wouldn't show up in your phone and you could not download it. Also the high score portion was showing up as 0 in my app.,The high score feature was really important,"There should be an intro to the app and explain what happens, a tutorial.",0,0.99,1,2,the purpose?,1,The app design is slightly old and does not have good graphics.,4,1,I am in class,Maybe to see how people's mood changes is while they are practicing with their memory,3,4,1,1,2
6,3.5,8.769230769,1.5,4.166666667,7.333333333,10,8.5,9.333333333,6.333333333,3.833333333,6.666666667,6.333333333,5.666666667,3.4,6.666666667,6.333333333,2,6.333333333,3,75,1.8,3.166666667,2.545454545,1.666666667,2,1.857142857,4,1772,1,19,2,2,NA,2,economics and administrative studies,1,20,1,2,2,1,13,2.6,3,1.6,4.5,3.181818182,3,2.5,2.714285714,641,NA,4.2,3.5,2.4,4.166666667,3.363636364,4.333333333,4.25,4.285714286,647,2,3.6,3.5,1.8,3.5,2.727272727,4,3,3.428571429,405,2,3.6,3.5,1.4,3.333333333,2.454545455,5,3.5,4.142857143,349,2,3.6,3.5,1.6,4.5,3.181818182,4.666666667,3.25,3.857142857,317,2,4.125,7.923076923,1.5,5,7.333333333,9.333333333,6.5,9,5.5,4.666666667,5.5,5,5,2.6,5.666666667,6,3.666666667,5,3.5,227,1.4,3.666666667,2.636363636,2.666666667,3.5,3.142857143,2,56,60,80,79,75,56,66,31,71,59,43,67,66,68,29,46,iPhone X,2,NA,NA,12,45,1,1,1,1,I’ve played crossword puzzles or mind games that are similar,1,1,2,4,8,I like that it gets increasingly challenging. But I feel like it needs a more modern design to it,I don’t like that you had to go and put to add more photos and all that extra stuff before playing the actual game.,I like that it became challenging.,I think you should give an option for preselected photos not just have the player add theirs.,0,1,3,4,The design,2,It takes a lot of time not a game you can just play really quick,4,2,NA,I think the purpose of this study was to see how students are feeling and if they have leadership qualities. Also I believe we were needed to test the app.,4,4,1,1,1
7,4.625,8.307692308,7.5,3.666666667,9,8.333333333,8,8,4.333333333,3.666666667,5,5.166666667,4.666666667,3,6,6,2.333333333,5,4,72,2,2.333333333,2.181818182,5.666666667,4.75,5.142857143,4.4,798,1,20,1,2,NA,3,Business,2,0,0,0,2,1,15,2,2.75,NA,NA,NA,NA,NA,NA,340,2,2.2,3.75,1.4,2,1.727272727,5,3.75,4.285714286,495,2,2.2,3.25,1.4,2.333333333,1.909090909,2.666666667,3,2.857142857,160,2,2,3.25,1.4,2.666666667,2.090909091,2.666666667,2.5,2.571428571,148,2,2,2.75,1.2,2.166666667,1.727272727,3.333333333,3.5,3.428571429,212,2,4.375,7.846153846,7,3.5,7.666666667,7.666666667,7.75,8.333333333,4.666666667,3.333333333,4.666666667,4.833333333,5.5,1.2,6,6,1.666666667,6,3.5,248,1,1.666666667,1.363636364,4,3.5,3.714285714,6,85,85,85,85,78,78,82,83,80,74,82,82,57,74,34,28,Iphone 11,2,NA,NA,10,60,1,2,1,1,None,1,1,1,4,7,It felt more like a game that I needed to do rather than a game that could help me.,It was easy to use and competitive.,There are multiple tries.,Make it more smooth.,1,2,3,4,Theme,2,I don’t see a huge benefit,3,2,NA,Test our happiness,4,4,1,1,1
8,4,7.230769231,1,5,6.333333333,6.333333333,10,5.333333333,5.333333333,6.166666667,5.333333333,4,4.5,3.8,2,4.666666667,6,4,3.25,50,2.2,3,2.636363636,3.666666667,2.75,3.142857143,1,501,1,21,2,2,NA,4,Paychology,1,30,4,5,2,1,21,1.8,2.25,NA,NA,NA,NA,NA,NA,322,2,1.8,2.25,2,3,2.545454545,4.333333333,4,4.142857143,171,2,1,4.25,1,2.5,1.818181818,6.333333333,5.25,5.714285714,736,2,2.4,2.5,1.2,2.5,1.909090909,4,5,4.571428571,111,2,2.2,2.75,3.6,5.166666667,4.454545455,1,2.5,1.857142857,117,2,3.625,8.692307692,1,4.5,6.333333333,9.333333333,10,8.666666667,6.5,4.333333333,6.5,4.833333333,5.333333333,0.8,4.333333333,6.666666667,5.333333333,6.333333333,1.75,200,1.4,2,1.727272727,6,4,4.857142857,4,33,79,73,75,24,55,32,69,22,84,27,29,85,26,79,68,IPhone 8 Plus,2,NA,NA,10,10,1,2,2,2,None,1,1,2,3,7,The app was kind of boring. Very repetitive. It would be easier if there was different modes instead of different levels,"Very repetitive, boring",Upload photos from gallery,Different modes for game,0,1,1,1,It was boring,1,It’s boring,3,2,NA,To see how the app affects our mindset,4,4,1,1,1
9,3.875,7.307692308,9,2.166666667,6,8,7,8.333333333,5,4,5,4.333333333,3.5,2,4.333333333,5.666666667,2.666666667,6,3.5,62,1.6,2.333333333,2,3.666666667,2,2.714285714,3,1130,1,21,1,1,NA,4,Biochemistry,1,16,3,2,2,0,23,2.4,2.5,NA,NA,NA,NA,NA,NA,410,2,1.8,3.25,1.6,2.166666667,1.909090909,3.333333333,2.5,2.857142857,155,2,2.6,3,3,1.333333333,2.090909091,5.333333333,2.25,3.571428571,193,2,2,3.25,2.6,1.666666667,2.090909091,4,2,2.857142857,126,2,2,3.5,1.6,2.5,2.090909091,3,2.5,2.714285714,161,2,3.375,7.769230769,8,1.833333333,6.333333333,7.666666667,7.5,9.666666667,5,3.333333333,4.666666667,4.666666667,3.666666667,1.6,5.333333333,5.666666667,3,6,3.25,184,1.8,1.5,1.636363636,4.333333333,2.75,3.428571429,3.6,60,60,60,60,75,75,60,60,57,57,45,45,35,35,60,60,Samsung S10+,2,NA,NA,15,105,1,2,2,2,"Literaly a Simon, the thing with 4 colors and you remember the order.",2,2,2,1,4,"Unity, although a powerful engine feels really clunky. I had trouble registering an account and it took me over 4 tries with no change in the inputs for it to let me to register. There's not much that can be improved other than ui graphics. Also, word list that needs a ""are you sure you want to delete"" message box as I accidently deleted it. Ux feels like a poorly done flash game too.","It's a really flat 1 dimensional game, I can see it implemented as part of a larger brain trainer app. As it is alone, content just seems too barren. Also adding your own pictures is a little tedious.","I'm sorry, I can't think of any.",Competitive leader boards against other players? Other game modes?,0,0,1,3,Not much unfortunately,2,All the cons I said previously.,4,2,NA,"I'm not sure, something with associative conditioning?",4,5,1,1,2
10,6,6.846153846,9,5,7.666666667,7,5.75,7.333333333,5.333333333,3,5,4,5,1.8,5.333333333,5,2,5,3,62,1,1.666666667,1.363636364,6,2,3.714285714,2.6,1488,1,33,1,4,NA,4,sociology,2,0,5,0,2,0,24,1.6,NA,1.2,1.333333333,1.272727273,4.333333333,2.5,3.285714286,193,2,2.2,3,1.4,1.5,1.454545455,1.666666667,1.25,1.428571429,2790,2,1.6,3.25,1.2,1,1.090909091,4,2,2.857142857,2073,2,1.8,3.25,1.2,1.166666667,1.181818182,4.333333333,3,3.571428571,1189,2,1.4,3,1.2,1.5,1.363636364,3,1.5,2.142857143,1224,2,5.125,7.076923077,8,4.166666667,7,7.333333333,7,7,4.166666667,3.5,3.833333333,3.5,4.166666667,1.2,4.333333333,4,3.333333333,4.333333333,3,201,1.2,1,1.090909091,1.666666667,1.75,1.714285714,2.8,64,71,62,77,51,61,53,62,53,54,72,72,54,56,42,35,Android,2,NA,NA,11,50,1,1,1,2,Duolingo,2,2,2,2,3,Too many glitches not enough stimuli,It's a memory game,The photos,Add some background stimuli,0,1,1,3,Just to many glitches,2,glitches,2,2,NA,to enhance memory and measure tolerance it seems,5,5,1,1,2
